epoch,loss,test_loss,val_loss
0,0.73946613073349,0.4200250506401062,0.4185806214809418
1,0.15948039293289185,0.04448091238737106,0.038994912058115005
2,0.025037575513124466,0.013785134069621563,0.014927581883966923
3,0.013747729361057281,0.008912933059036732,0.010284794494509697
4,0.00999437365680933,0.009180121123790741,0.011856531724333763
5,0.00910854246467352,0.0088980533182621,0.011275893077254295
6,0.008453521877527237,0.007983434945344925,0.009166819043457508
7,0.007952327840030193,0.013948220759630203,0.01638396456837654
8,0.008730570785701275,0.00766459945589304,0.009412046521902084
9,0.007834128104150295,0.010851895436644554,0.011560200713574886
10,0.009643033146858215,0.008172445930540562,0.00930736307054758
11,0.010445021092891693,0.007407743949443102,0.009206649847328663
12,0.009561944752931595,0.007771480828523636,0.009667400270700455
13,0.008125673048198223,0.0073211281560361385,0.008526477962732315
14,0.007723166141659021,0.00748306792229414,0.008872111327946186
15,0.00740441121160984,0.00706849480047822,0.008608946576714516
16,0.00703315669670701,0.006916339974850416,0.008809652179479599
17,0.006970397662371397,0.00687332171946764,0.008698788471519947
18,0.006838918197900057,0.0070171779952943325,0.008508693426847458
19,0.007273591123521328,0.007031729444861412,0.008490961976349354
20,0.00721650430932641,0.007775574456900358,0.009024657309055328
21,0.0073730009607970715,0.0067748879082500935,0.008532039821147919
22,0.007040219847112894,0.006838069297373295,0.008547220379114151
23,0.006966339889913797,0.006810230668634176,0.008700868114829063
24,0.007074857596307993,0.007364137563854456,0.00952830072492361
25,0.007193468976765871,0.006983505096286535,0.008581399917602539
26,0.006643588654696941,0.006971844471991062,0.00873885303735733
27,0.006942823063582182,0.007771615870296955,0.009315816685557365
28,0.007517565507441759,0.008821692317724228,0.01131389569491148
29,0.007698404602706432,0.007128008175641298,0.009516498073935509
30,0.007550516631454229,0.006949210539460182,0.008462921716272831
31,0.007096473593264818,0.007087496109306812,0.00888774637132883
32,0.006958093494176865,0.009461870416998863,0.012228723615407944
33,0.008050724864006042,0.008429702371358871,0.011194569990038872
34,0.007208304014056921,0.007152208127081394,0.009221730753779411
35,0.006707516964524984,0.0069156186655163765,0.008552733808755875
36,0.006585989613085985,0.00797413568943739,0.010623167268931866
37,0.007306847255676985,0.007091801147907972,0.009478816762566566
38,0.006819366943091154,0.008699030615389347,0.011726010590791702
39,0.00685575045645237,0.0069421944208443165,0.00895853154361248
40,0.006580500863492489,0.006942618638277054,0.008930792100727558
41,0.0065494198352098465,0.00701477425172925,0.009103347547352314
42,0.006458346266299486,0.006658059079200029,0.008758357726037502
43,0.006261349190026522,0.0068927365355193615,0.008566731587052345
44,0.006205426994711161,0.006714798975735903,0.008829772472381592
45,0.006528828293085098,0.006920215208083391,0.008747040294110775
46,0.0065276059322059155,0.00677020289003849,0.00911896675825119
47,0.0066361455246806145,0.006889568641781807,0.00868439581245184
48,0.006769329309463501,0.006934674922376871,0.009666445665061474
49,0.006468596402555704,0.00776441115885973,0.00897169392555952
50,0.006277583539485931,0.006738932803273201,0.008585083298385143
51,0.0064726537093520164,0.008207404054701328,0.010955938138067722
52,0.006188652943819761,0.008245871402323246,0.01124561671167612
53,0.007321274373680353,0.010713784955441952,0.013796757906675339
54,0.007484532427042723,0.007119819056242704,0.009581027552485466
55,0.006427980028092861,0.0067465659230947495,0.008599203079938889
56,0.0063501764088869095,0.0072869849391281605,0.009827506728470325
57,0.005924982950091362,0.006264056544750929,0.008265684358775616
58,0.0062033673748373985,0.0068230293691158295,0.008939344435930252
59,0.006458550691604614,0.00645903404802084,0.008582916110754013
60,0.005942885763943195,0.007521274499595165,0.009357724338769913
61,0.005878232419490814,0.006577521096915007,0.008447599597275257
